"Teste","Número de máquinas","Número de tarefas","Menor tarefa","Maior tarefa","Média do tamanho das tarefas","Carga média por máquina","IMBAL","Tempo","LIST","Tempo"
"sched_101_30011_crescente","101.0","30011.0","1.0","1000.0","498.6971","148182.1584","184250","0.001438","148677","0.002201"
"sched_101_30011_decrescente","101.0","30011.0","1.0","1000.0","498.6971","148182.1584","183781","0.001013","148183","0.001234"
"sched_101_30011_embaralhado1","101.0","30011.0","1.0","1000.0","498.6971","148182.1584","184313","0.001396","148753","0.001506"
"sched_101_30011_embaralhado2","101.0","30011.0","1.0","1000.0","498.6971","148182.1584","184407","0.001293","148800","0.001512"
"sched_101_30011_embaralhado3","101.0","30011.0","1.0","1000.0","498.6971","148182.1584","184411","0.001587","148771","0.001623"
"sched_101_9001_crescente","101.0","9001.0","1.0","1000.0","499.382","44504.3267","55680","0.000527","45005","0.000704"
"sched_101_9001_decrescente","101.0","9001.0","1.0","1000.0","499.382","44504.3267","55197","0.000599","44508","0.000595"
"sched_101_9001_embaralhado1","101.0","9001.0","1.0","1000.0","499.382","44504.3267","55687","0.00039","45050","0.000467"
"sched_101_9001_embaralhado2","101.0","9001.0","1.0","1000.0","499.382","44504.3267","55841","0.000393","45133","0.00046"
"sched_101_9001_embaralhado3","101.0","9001.0","1.0","1000.0","499.382","44504.3267","55663","0.000594","44998","0.00046"
"sched_1023_611837_crescente","1023.0","611837.0","1.0","1000.0","500.2867","299212.0459","372645","0.258792","299701","0.439897"
"sched_1023_611837_decrescente","1023.0","611837.0","1.0","1000.0","500.2867","299212.0459","372162","0.14834","299213","0.236169"
"sched_1023_611837_embaralhado1","1023.0","611837.0","1.0","1000.0","500.2867","299212.0459","372788","0.178656","299838","0.287515"
"sched_1023_611837_embaralhado2","1023.0","611837.0","1.0","1000.0","500.2867","299212.0459","372789","0.17587","299852","0.286945"
"sched_1023_611837_embaralhado3","1023.0","611837.0","1.0","1000.0","500.2867","299212.0459","372773","0.176164","299865","0.286013"
"sched_1023_9000403_crescente","1023.0","9000403.0","1.0","1000.0","500.4835","4403277.8583","5477308","3.804339","4403772","6.477342"
"sched_1023_9000403_decrescente","1023.0","9000403.0","1.0","1000.0","500.4835","4403277.8583","5476814","2.558807","4403278","4.164209"
"sched_1023_9000403_embaralhado1","1023.0","9000403.0","1.0","1000.0","500.4835","4403277.8583","5477420","2.611116","4403892","4.217138"
"sched_1023_9000403_embaralhado2","1023.0","9000403.0","1.0","1000.0","500.4835","4403277.8583","5477461","2.600887","4403927","4.218019"
"sched_1023_9000403_embaralhado3","1023.0","9000403.0","1.0","1000.0","500.4835","4403277.8583","5477489","2.59248","4403939","4.223587"
"sched_11_1009_crescente","11.0","1009.0","1.0","999.0","523.4351","48013.2727","56737","2.2e-05","48465","2.1e-05"
"sched_11_1009_decrescente","11.0","1009.0","1.0","999.0","523.4351","48013.2727","56368","2.5e-05","48016","2.1e-05"
"sched_11_1009_embaralhado1","11.0","1009.0","1.0","999.0","523.4351","48013.2727","56992","2.8e-05","48582","0.000111"
"sched_11_1009_embaralhado2","11.0","1009.0","1.0","999.0","523.4351","48013.2727","56597","2.7e-05","48406","5.8e-05"
"sched_11_1009_embaralhado3","11.0","1009.0","1.0","999.0","523.4351","48013.2727","56871","2.8e-05","48475","2.5e-05"
"sched_11_103_crescente","11.0","103.0","1.0","989.0","511.4854","4789.3636","6072","1.5e-05","5233","1.2e-05"
"sched_11_103_decrescente","11.0","103.0","1.0","989.0","511.4854","4789.3636","5628","1.4e-05","4811","1.3e-05"
"sched_11_103_embaralhado1","11.0","103.0","1.0","989.0","511.4854","4789.3636","5994","1.5e-05","5176","1.5e-05"
"sched_11_103_embaralhado2","11.0","103.0","1.0","989.0","511.4854","4789.3636","6098","1.5e-05","5416","1.4e-05"
"sched_11_103_embaralhado3","11.0","103.0","1.0","989.0","511.4854","4789.3636","5940","1.4e-05","5253","1.4e-05"
